game_id,value,prob,condition,n
101590,1,0.11,baseline,100.0
101590,2,0.11,baseline,100.0
101590,3,0.66,baseline,100.0
101590,4,0.12,baseline,100.0
101590,5,0.0,baseline,100.0
102710,1,0.11,baseline,100.0
102710,2,0.0,baseline,100.0
102710,3,0.13,baseline,100.0
102710,4,0.07,baseline,100.0
102710,5,0.69,baseline,100.0
104728,1,1.0,baseline,100.0
104728,2,0.0,baseline,100.0
104728,3,0.0,baseline,100.0
104728,4,0.0,baseline,100.0
104728,5,0.0,baseline,100.0
106341,1,0.26,baseline,100.0
106341,2,0.18,baseline,100.0
106341,3,0.06,baseline,100.0
106341,4,0.01,baseline,100.0
106341,5,0.47,baseline,100.0
106341,6,0.02,baseline,100.0
108886,1,0.3,baseline,100.0
108886,2,0.09,baseline,100.0
108886,3,0.32,baseline,100.0
108886,4,0.04,baseline,100.0
108886,5,0.04,baseline,100.0
108886,6,0.21,baseline,100.0
117270,1,0.01,baseline,100.0
117270,2,0.0,baseline,100.0
117270,3,0.05,baseline,100.0
117270,4,0.13,baseline,100.0
117270,5,0.04,baseline,100.0
117270,6,0.11,baseline,100.0
117270,7,0.2,baseline,100.0
117270,8,0.46,baseline,100.0
122262,1,0.09,baseline,100.0
122262,2,0.01,baseline,100.0
122262,3,0.03,baseline,100.0
122262,4,0.03,baseline,100.0
122262,5,0.44,baseline,100.0
122262,6,0.09,baseline,100.0
122262,7,0.06,baseline,100.0
122262,8,0.03,baseline,100.0
122262,9,0.22,baseline,100.0
139607,1,0.12,baseline,100.0
139607,2,0.08,baseline,100.0
139607,3,0.11,baseline,100.0
139607,4,0.09,baseline,100.0
139607,5,0.06,baseline,100.0
139607,6,0.03,baseline,100.0
139607,7,0.02,baseline,100.0
139607,8,0.02,baseline,100.0
139607,9,0.02,baseline,100.0
139607,10,0.31,baseline,100.0
139607,11,0.08,baseline,100.0
139607,12,0.06,baseline,100.0
155808,1,0.0,baseline,100.0
155808,2,0.0,baseline,100.0
155808,3,0.0,baseline,100.0
155808,4,0.0,baseline,100.0
155808,5,0.0,baseline,100.0
155808,6,0.0,baseline,100.0
155808,7,0.02,baseline,100.0
155808,8,0.23,baseline,100.0
155808,9,0.04,baseline,100.0
155808,10,0.04,baseline,100.0
155808,11,0.02,baseline,100.0
155808,12,0.02,baseline,100.0
155808,13,0.06,baseline,100.0
155808,14,0.06,baseline,100.0
155808,15,0.27,baseline,100.0
155808,16,0.24,baseline,100.0
162531,1,0.12,baseline,100.0
162531,2,0.0,baseline,100.0
162531,3,0.01,baseline,100.0
162531,4,0.03,baseline,100.0
162531,5,0.0,baseline,100.0
162531,6,0.0,baseline,100.0
162531,7,0.0,baseline,100.0
162531,8,0.82,baseline,100.0
162531,9,0.02,baseline,100.0
162531,10,0.0,baseline,100.0
162531,11,0.0,baseline,100.0
162531,12,0.0,baseline,100.0
162531,13,0.0,baseline,100.0
162531,14,0.0,baseline,100.0
162531,15,0.0,baseline,100.0
162531,16,0.0,baseline,100.0
162531,17,0.0,baseline,100.0
170918,1,0.0,baseline,99.0
170918,2,0.0,baseline,99.0
170918,3,0.0,baseline,99.0
170918,4,0.0,baseline,99.0
170918,5,0.0,baseline,99.0
170918,6,0.0,baseline,99.0
170918,7,0.0,baseline,99.0
170918,8,0.0,baseline,99.0
170918,9,0.10101010101010101,baseline,99.0
170918,10,0.08080808080808081,baseline,99.0
170918,11,0.050505050505050504,baseline,99.0
170918,12,0.0,baseline,99.0
170918,13,0.010101010101010102,baseline,99.0
170918,14,0.0,baseline,99.0
170918,15,0.0,baseline,99.0
170918,16,0.0,baseline,99.0
170918,17,0.050505050505050504,baseline,99.0
170918,18,0.10101010101010101,baseline,99.0
170918,19,0.6060606060606061,baseline,99.0
176678,2,0.0,baseline,100.0
176678,3,0.14,baseline,100.0
176678,4,0.55,baseline,100.0
176678,5,0.2,baseline,100.0
176678,6,0.11,baseline,100.0
182934,2,0.01,baseline,100.0
182934,3,0.08,baseline,100.0
182934,4,0.36,baseline,100.0
182934,5,0.4,baseline,100.0
182934,6,0.1,baseline,100.0
182934,7,0.05,baseline,100.0
186075,2,0.0,baseline,100.0
186075,3,0.03,baseline,100.0
186075,4,0.15,baseline,100.0
186075,5,0.02,baseline,100.0
186075,6,0.76,baseline,100.0
186075,7,0.04,baseline,100.0
186075,8,0.0,baseline,100.0
195438,2,0.06,baseline,100.0
195438,3,0.07,baseline,100.0
195438,4,0.01,baseline,100.0
195438,5,0.01,baseline,100.0
195438,6,0.01,baseline,100.0
195438,7,0.02,baseline,100.0
195438,8,0.1,baseline,100.0
195438,9,0.62,baseline,100.0
195438,10,0.1,baseline,100.0
195730,2,0.0,baseline,100.0
195730,3,0.0,baseline,100.0
195730,4,0.05,baseline,100.0
195730,5,0.06,baseline,100.0
195730,6,0.6,baseline,100.0
195730,7,0.06,baseline,100.0
195730,8,0.15,baseline,100.0
195730,9,0.08,baseline,100.0
195730,10,0.0,baseline,100.0
197894,2,0.01,baseline,100.0
197894,3,0.03,baseline,100.0
197894,4,0.33,baseline,100.0
197894,5,0.13,baseline,100.0
197894,6,0.22,baseline,100.0
197894,7,0.01,baseline,100.0
197894,8,0.27,baseline,100.0
197894,9,0.0,baseline,100.0
197894,10,0.0,baseline,100.0
210679,2,0.0,baseline,100.0
210679,3,0.0,baseline,100.0
210679,4,0.0,baseline,100.0
210679,5,0.11,baseline,100.0
210679,6,0.0,baseline,100.0
210679,7,0.08,baseline,100.0
210679,8,0.1,baseline,100.0
210679,9,0.07,baseline,100.0
210679,10,0.43,baseline,100.0
210679,11,0.16,baseline,100.0
210679,12,0.04,baseline,100.0
210679,13,0.01,baseline,100.0
225769,2,0.01,baseline,100.0
225769,3,0.0,baseline,100.0
225769,4,0.0,baseline,100.0
225769,5,0.02,baseline,100.0
225769,6,0.01,baseline,100.0
225769,7,0.02,baseline,100.0
225769,8,0.17,baseline,100.0
225769,9,0.12,baseline,100.0
225769,10,0.11,baseline,100.0
225769,11,0.03,baseline,100.0
225769,12,0.09,baseline,100.0
225769,13,0.05,baseline,100.0
225769,14,0.05,baseline,100.0
225769,15,0.02,baseline,100.0
225769,16,0.3,baseline,100.0
229065,2,0.63,baseline,100.0
229065,3,0.04,baseline,100.0
229065,4,0.07,baseline,100.0
229065,5,0.0,baseline,100.0
