"response","game_id","PID","gap","lower_bound","num_choices","upper_bound","bonus_size","bonus_rule","points_rule"
13,756995,"6750bac54816fc7028a10a46",4,9,15,23,19,"sum_even","normal_plus_one"
20,880924,"60dbf4d94a3b5564b68881e8",3,11,10,20,14,"gap_lower","normal"
23,614670,"62e3f7b224ec70641fd86b7b",3,7,17,23,12,"unequal","normal_minus_one"
17,442663,"5f98099d48060d0450394002",3,5,13,17,6,"coordinate_low","normal_plus_two"
26,1482342,"68491eeead1c9115dbd5d603",3,19,10,28,12,"gap_higher","normal_minus_one"
6,512067,"667c2175b570aa694ce2f63c",2,6,12,17,3,"less_upper","two_less_max_costless"
25,1486856,"5e00f9a211999fcea4169800",3,19,11,29,10,"gap_absolute","normal_minus_two"
13,702295,"6023f94d1951e70ae21770ec",3,9,5,13,2,"equal","normal_plus_two"
17,516360,"655a395e2828d333bae0ea4b",2,6,13,18,1,"gap_higher","normal_minus_one"
24,1482104,"5484620efdf99b0379939c6a",3,19,10,28,11,"gap_absolute","normal_minus_two"
3,101590,"59dd90f6e75b450001a68dac",2,1,5,5,7,"gap_lower","normal"
22,676932,"65fb70d4e69155a62d58ac90",4,8,15,22,1,"more_than","normal_minus_one"
26,1332556,"66b73f9ba035651170b94c76",3,17,10,26,14,"sum_upper","normal"
4,162531,"65d219ae5dfcb3e376af3e01",2,1,17,17,9,"less_upper","two_less_max_costless"
28,1068891,"6113ffbf45e79bc2769db74c",2,13,18,30,4,"gap_lower","two_less_max_costless"
14,849774,"6426124fd4520b59c2330332",3,10,19,28,10,"gap_lower","normal_minus_one"
27,1508603,"60cec40c59def0d3f57a2384",4,19,15,33,16,"sum_even","normal_plus_one"
11,395268,"5cdc899d48d5f100195fafff",4,4,18,21,17,"equal","normal_minus_one"
17,302701,"675f6001dd0e83d71805de6f",4,3,15,17,8,"sum_upper","normal_plus_two"
6,483030,"67837959a1ccc1627479fb36",3,6,6,11,7,"less_upper","normal_minus_one"
21,1119833,"616ef680ab8ca318a227f5ec",1,14,13,26,7,"gap_lower","normal_plus_one"
19,811585,"59f22a9fd6380600018b2929",2,10,11,20,17,"equal","normal_plus_two"
14,876297,"5e9b443223881d04be740737",3,11,9,19,15,"unequal","two_less_max_costless"
12,965643,"5e2ac2aa0038f21089a533a4",2,12,12,23,11,"coordinate_low","two_less_max_costless"
15,937529,"67886304e14dce87368e3688",1,12,6,17,19,"unequal","normal_plus_one"
16,929323,"5d8d12f6d88e3a00142c9751",1,12,5,16,7,"equal","normal_plus_two"
27,1342306,"672bf6a8b306f66878d7d5ff",4,17,12,28,13,"sum_odd","normal"
10,713883,"677325421675c69275202d2d",2,9,7,15,8,"more_than","two_less_max_costless"
7,235115,"5ea120ed66031912aea618ae",4,2,16,17,18,"sum_upper","normal_plus_one"
15,877285,"62ab9ef7415da9c5d0ccc7bb",4,11,9,19,19,"gap_absolute","normal_plus_two"
20,947775,"627a76715c52f43dd8b4f6a2",4,12,9,20,1,"gap_absolute","two_less_max_costless"
17,896896,"67b9ea0f7c1ce0cc342a9b92",1,11,13,23,17,"sum_even","normal"
14,451845,"670eba80fd87b7f29689350b",1,5,15,19,3,"sum_upper","two_less_max_costless"
11,571418,"67e727e0e5b6fb17d760f39f",2,7,8,14,19,"sum_odd","normal_minus_two"
13,510846,"62fd14d7b1e0729dc8aadb79",3,6,11,16,18,"gap_absolute","normal_minus_one"
22,540585,"662939026740389d07b16f23",3,6,17,22,16,"less_upper","two_less_max_costless"
20,394751,"607081b0ecb2499634a349dd",2,4,18,21,15,"unequal","normal_plus_one"
23,919767,"676c99169461dbd7edcce2b7",4,11,18,28,9,"gap_higher","two_less_max_costless"
18,801274,"66940332d70583ebe9a33c05",4,10,9,18,16,"more_than","normal"
13,928449,"6731be489e831394673e6fee",3,12,5,16,4,"gap_lower","two_less_max_costless"
15,875902,"66a819b2c3eb66cffc47e808",2,11,9,19,14,"gap_lower","normal"
18,920665,"67f1b8abe144ffdfc27d371a",2,11,18,28,12,"sum_even","normal_plus_two"
12,721782,"59f8f9f7680a95000122b306",3,9,8,16,19,"gap_absolute","normal_minus_one"
6,287358,"5dc474fd45b8f933f16d6241",3,3,12,14,7,"sum_odd","normal_minus_one"
23,1034535,"66da38dc1d5b9365584508ca",4,13,11,23,6,"less_upper","two_less_max_costless"
22,817541,"6714816f7e2a4f2e612e3bd5",3,10,13,22,1,"coordinate_low","normal_plus_one"
26,1118593,"6724260700cede758eb0c062",2,14,13,26,2,"more_than","normal_plus_two"
15,1198492,"63ed78d1217e614a3c6b392e",3,15,13,27,19,"coordinate_low","normal"
27,1264794,"66eb1a41306925cf993d6490",1,16,12,27,5,"gap_higher","normal_minus_one"
18,1011122,"678f02520df6c988ca6bdd85",2,13,6,18,13,"gap_absolute","normal_minus_two"
6,139607,"676058418c08c71e4bb7cbd1",2,1,12,12,18,"gap_lower","normal_plus_one"
18,1079799,"603e27e4689f94dfc6590465",4,14,5,18,7,"more_than","two_less_max_costless"
24,763117,"6134e3d48d0eaa5c8fe8c25e",4,9,17,25,4,"sum_upper","normal_plus_two"
16,155808,"61719bfec06e3136189edb55",2,1,16,16,3,"equal","normal_minus_one"
26,844902,"67269f439696d166fbb74e09",3,10,18,27,10,"sum_even","normal_minus_one"
5,117270,"610e0a1e95c323743ff02dcb",3,1,8,8,9,"equal","normal_minus_one"
19,1187959,"57315ab3070de6000e434671",3,15,11,25,18,"gap_lower","normal_plus_two"
33,1519704,"6408b11ea1f6735953548644",2,19,18,36,1,"sum_odd","normal_minus_one"
23,1446707,"67d43f5c7253c147df75e9e5",4,18,18,35,10,"gap_higher","normal_plus_one"
19,802993,"6737bac9644359235797f924",2,10,10,19,3,"less_upper","normal_plus_two"
14,1035491,"614e848825ae648282115670",4,13,11,23,10,"unequal","normal_plus_one"
13,300962,"5eac8b777b60c8129709fc10",2,3,15,17,2,"gap_absolute","normal_minus_two"
25,695053,"5e2926d80beb030ede110e67",4,8,18,25,12,"coordinate_low","normal_plus_two"
13,170918,"671498899f67df85f33ea053",4,1,19,19,3,"sum_even","normal_minus_two"
9,122262,"63a2844c9d6acbec7228a420",3,1,9,9,9,"more_than","normal_minus_one"
16,225769,"6702f60844f21087e0840e3d",2,2,15,16,2,"equal","normal_plus_two"
12,355555,"6786682cfe5424ad10237085",1,4,10,13,19,"gap_lower","normal_plus_two"
27,1197912,"66e706540c25cee0f5ccdaba",2,15,13,27,17,"sum_upper","normal_minus_one"
8,195730,"66cbd62c530179615a4a90bc",4,2,9,10,2,"sum_even","normal"
24,1481503,"67d189786d51b2815d94633f",3,19,10,28,8,"coordinate_low","normal_plus_two"
28,1437644,"605bc35a0133e151a7cf9623",1,18,16,33,13,"less_upper","normal_minus_two"
20,1150460,"67d1a4ff5d3cfa8ec4ff38fb",1,14,19,32,9,"gap_lower","normal_minus_two"
18,870816,"59e996863e4b5a00016aa699",2,11,8,18,13,"sum_upper","normal_minus_one"
25,904257,"673f361cb1d555345330ff1b",3,11,15,25,7,"equal","two_less_max_costless"
13,210679,"5c56964991c0ad0001cfa5ae",3,2,12,13,2,"gap_absolute","normal_plus_two"
13,646968,"6684b71a5615b7da8e59ce56",2,8,9,16,1,"less_upper","normal_minus_one"
7,182934,"616b2966d0aee4f9879a656b",3,2,6,7,11,"gap_higher","normal_minus_one"
24,549848,"614b11e399369a0d52b5fbf6",3,6,19,24,13,"coordinate_low","normal_minus_two"
14,881079,"566feba6b937e400052d33b2",4,11,10,20,14,"sum_even","two_less_max_costless"
10,559889,"66187caf2a94f9051c85c431",1,7,6,12,14,"gap_lower","normal_plus_one"
16,740004,"659d874e294242ce3de681c8",4,9,12,20,12,"gap_absolute","normal_minus_one"
24,911417,"66fd855cf4cfd7ee139e35fd",1,11,16,26,15,"sum_even","normal_plus_one"
4,339271,"5a8b61fcf1408d000176b02f",3,4,7,10,14,"more_than","normal_plus_two"
7,229319,"5ba1387c2000c10001b71649",2,2,15,16,15,"less_upper","normal_plus_one"
22,537863,"66789a1e138a59bb4ad16fa5",2,6,17,22,6,"sum_even","normal_plus_one"
12,960005,"67cd9cf6fcf63b6ab8f21390",3,12,11,22,9,"sum_even","normal_plus_one"
28,922131,"67f67d04686f4f467e3a6c76",2,11,18,28,18,"gap_higher","two_less_max_costless"
18,663140,"672adb2909ca72744f212a7d",1,8,12,19,6,"gap_higher","normal_minus_two"
16,931299,"5d0dfa68f6be990019edd3bb",2,12,5,16,14,"less_upper","two_less_max_costless"
10,418569,"67bc755b022467c613763798",3,5,8,12,10,"sum_odd","two_less_max_costless"
29,1140976,"5a5b6255f6c5170001950ae0",1,14,17,30,11,"gap_higher","normal"
11,412389,"6685633b50fdf89801428491",1,5,7,11,6,"more_than","two_less_max_costless"
27,984204,"614e82d5717d691f24efffc0",4,12,16,27,6,"gap_absolute","normal_minus_one"
6,330814,"59c0782e5364260001dc4740",2,4,6,9,1,"more_than","normal"
11,350316,"5fcbe82a12a0c80009d6e9cf",4,4,9,12,18,"gap_higher","normal_minus_one"
18,890020,"6323781f75962af097c34b5e",3,11,12,22,10,"unequal","normal"
