game_id,lower_bound,upper_bound,gap,bonus_size,points_rule,bonus_rule,action_space_size,total_equilibria_in_game,pure_equilibria_in_game,mixed_equilibria_in_game,symmetric_equilibria_in_game,equilibrium_id,equilibrium_type,is_symmetric,is_pure,is_mixed,row_strategy,col_strategy,row_action_probs,col_action_probs,analysis_success,error_message,selection_stage,selection_reason,payoff_dominant,risk_dominant,strongly_dominant,total_components,surviving_components,row_support_size,col_support_size,row_support_proportion,col_support_proportion,max_support_size,min_support_size
101590,1,5,2,7,normal,gap_lower,5,1,0,1,1,1.0,mixed_symmetric,True,False,True,"[0.14285714285714285, 0.0, 0.5714285714285714, 0.0, 0.2857142857142857]","[0.14285714285714285, 0.0, 0.5714285714285714, 0.0, 0.2857142857142857]","[[1, 0.14285714285714285], [3, 0.5714285714285714], [5, 0.2857142857142857]]","[[1, 0.14285714285714285], [3, 0.5714285714285714], [5, 0.2857142857142857]]",True,,unique_equilibrium,Only Nash equilibrium found,False,False,False,1,1,3,3,0.6,0.6,3,3
102710,1,5,4,11,normal_minus_two,gap_absolute,5,3,2,1,1,3.0,mixed_symmetric,True,False,True,"[0.3181818181818182, 0.0, 0.0, 0.0, 0.6818181818181818]","[0.3181818181818182, 0.0, 0.0, 0.0, 0.6818181818181818]","[[1, 0.3181818181818182], [5, 0.6818181818181818]]","[[1, 0.3181818181818182], [5, 0.6818181818181818]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,2,2,0.4,0.4,2,2
104728,1,5,1,18,normal,coordinate_low,5,3,2,1,3,1.0,pure_symmetric,True,True,False,"[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[[1, 1.0]]","[[1, 1.0]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,1,1,0.2,0.2,1,1
106341,1,6,1,6,two_less_max_costless,gap_lower,6,7,0,7,1,7.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[[4, 0.3333333333333333], [5, 0.3333333333333333], [6, 0.3333333333333333]]","[[4, 0.3333333333333333], [5, 0.3333333333333333], [6, 0.3333333333333333]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,3,3,0.5,0.5,3,3
108886,1,6,2,15,normal,sum_odd,6,3,2,1,1,3.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.0, 0.4666666666666667, 0.5333333333333333]","[0.0, 0.0, 0.0, 0.0, 0.4666666666666667, 0.5333333333333333]","[[5, 0.4666666666666667], [6, 0.5333333333333333]]","[[5, 0.4666666666666667], [6, 0.5333333333333333]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,2,2,0.3333333333333333,0.3333333333333333,2,2
117270,1,8,3,9,normal_minus_one,equal,8,53,8,45,53,1.0,pure_symmetric,True,True,False,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 1.0]]","[[1, 1.0]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,1,1,0.125,0.125,1,1
122262,1,9,3,9,normal_minus_one,more_than,9,3,2,1,1,3.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.7222222222222222]","[0.0, 0.0, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.7222222222222222]","[[5, 0.2777777777777778], [9, 0.7222222222222222]]","[[5, 0.2777777777777778], [9, 0.7222222222222222]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,2,2,0.2222222222222222,0.2222222222222222,2,2
139607,1,12,2,18,normal_plus_one,gap_lower,12,7,0,7,1,7.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.2222222222222222, 0.0, 0.1111111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.2222222222222222, 0.0, 0.1111111111111111]","[[6, 0.3333333333333333], [8, 0.3333333333333333], [10, 0.2222222222222222], [12, 0.1111111111111111]]","[[6, 0.3333333333333333], [8, 0.3333333333333333], [10, 0.2222222222222222], [12, 0.1111111111111111]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,4,4,0.3333333333333333,0.3333333333333333,4,4
155808,1,16,2,3,normal_minus_one,equal,16,7,4,3,7,2.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[[14, 1.0]]","[[14, 1.0]]",True,,payoff_dominance,Selected via payoff (Pareto) dominance,True,False,False,2,1,1,1,0.0625,0.0625,1,1
170918,1,19,4,3,normal_minus_two,sum_even,19,3,2,1,3,1.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[[18, 1.0]]","[[18, 1.0]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,1,1,0.05263157894736842,0.05263157894736842,1,1
